usuario_id,ingreso_mensual,gasto_mensual_promedio,deuda_mensual,ahorro_mensual_estimado,porcentaje_gastos_ingreso,nivel_endeudamiento,porcentaje_ahorro_ingreso,frecuencia_ahorro,perfil_financiero,estado
USR0086,3388.83,2901.56,385.97,101.3,85.62,11.39,2.99,Baja,En riesgo,ACTIVO
USR0087,4693.08,1722.83,360.19,2610.06,36.71,7.67,55.61,Alta,Saludable,ACTIVO
USR0088,1941.6,1279.24,251.65,410.72,65.89,12.96,21.15,Alta,En observación,ACTIVO
USR0089,3958.41,2537.66,685.23,735.51,64.11,17.31,18.58,Media,En observación,ACTIVO
USR0090,2393.55,832.21,111.97,1449.37,34.77,4.68,60.55,Alta,Saludable,ACTIVO
USR0091,1677.67,1131.52,190.2,355.95,67.45,11.34,21.22,Alta,En observación,ACTIVO
USR0092,4778.19,2916.85,413.1,1448.24,61.05,8.65,30.31,Alta,En observación,ACTIVO
USR0093,5506.2,5002.3,686.07,-182.17,90.85,12.46,-3.31,Nunca,En riesgo,ACTIVO
USR0094,4172.93,2311.06,728.69,1133.18,55.38,17.46,27.16,Alta,Saludable,ACTIVO
USR0095,3269.2,1807.32,356.72,1105.16,55.28,10.91,33.81,Alta,Saludable,ACTIVO
USR0096,6835.02,3670.75,768.2,2396.07,53.71,11.24,35.06,Alta,Saludable,ACTIVO
USR0097,2587.76,1058.81,175.74,1353.21,40.92,6.79,52.29,Alta,Saludable,ACTIVO
USR0098,3125.41,1748.05,384.07,993.29,55.93,12.29,31.78,Alta,Saludable,ACTIVO
USR0099,4938.92,3884.09,809.45,245.38,78.64,16.39,4.97,Baja,En riesgo,ACTIVO
USR0100,6302.19,3963.96,1369.58,968.65,62.9,21.73,15.37,Media,En observación,ACTIVO
USR0101,2185.82,1270.18,206.35,709.29,58.11,9.44,32.45,Alta,Saludable,ACTIVO
USR0102,3848.09,2701.29,247.7,899.1,70.2,6.44,23.36,Alta,En observación,ACTIVO
USR0103,4545.67,3209.53,2187.21,-851.07,70.61,48.12,-18.72,Nunca,En riesgo,ACTIVO
USR0104,1289.06,601.37,711.92,-24.24,46.65,55.23,-1.88,Nunca,En riesgo,ACTIVO
USR0105,1581.39,867.2,683.93,30.26,54.84,43.25,1.91,Baja,En riesgo,ACTIVO
USR0106,1406.26,990.45,239.96,175.85,70.43,17.06,12.5,Media,En observación,ACTIVO
USR0107,2580.25,2035.59,631.04,-86.38,78.89,24.46,-3.35,Nunca,En riesgo,INACTIVO
USR0108,2732.61,1636.89,412.72,683.0,59.9,15.1,24.99,Alta,Saludable,ACTIVO
USR0109,2772.57,1693.85,1023.52,55.21,61.09,36.92,1.99,Baja,En observación,ACTIVO
USR0110,3254.7,1959.36,359.76,935.58,60.2,11.05,28.75,Alta,En observación,ACTIVO
USR0111,2576.4,1994.21,362.33,219.86,77.4,14.06,8.53,Baja,En observación,ACTIVO
USR0112,2622.47,1297.61,166.34,1158.52,49.48,6.34,44.18,Alta,Saludable,ACTIVO
USR0113,6211.91,2723.32,905.78,2582.81,43.84,14.58,41.58,Alta,Saludable,ACTIVO
USR0114,2032.94,1806.13,116.18,110.63,88.84,5.71,5.44,Baja,En observación,ACTIVO
USR0115,3464.23,1973.88,292.82,1197.53,56.98,8.45,34.57,Alta,Saludable,ACTIVO
USR0116,5375.81,3236.44,540.5,1598.87,60.2,10.05,29.74,Alta,En observación,ACTIVO
USR0117,3130.01,1827.75,616.97,685.28,58.39,19.71,21.89,Alta,Saludable,ACTIVO
USR0118,1359.28,1134.66,238.04,-13.41,83.47,17.51,-0.99,Nunca,En riesgo,ACTIVO
USR0119,3403.64,3106.48,687.43,-390.27,91.27,20.2,-11.47,Nunca,En riesgo,ACTIVO
USR0120,5975.3,3622.03,827.69,1525.58,60.62,13.85,25.53,Alta,En observación,ACTIVO
USR0121,3849.09,2331.94,175.62,1341.53,60.58,4.56,34.85,Alta,En observación,ACTIVO
USR0122,2808.43,1435.76,1458.53,-85.86,51.12,51.93,-3.06,Nunca,En riesgo,ACTIVO
USR0123,4653.89,3668.46,1311.93,-326.5,78.83,28.19,-7.02,Nunca,En riesgo,ACTIVO
USR0124,2412.58,1647.58,563.78,201.22,68.29,23.37,8.34,Baja,En observación,ACTIVO
USR0125,1638.38,997.1,342.23,299.05,60.86,20.89,18.25,Media,En observación,ACTIVO
USR0126,4899.35,3124.08,2001.09,-225.82,63.77,40.84,-4.61,Nunca,En riesgo,ACTIVO
USR0127,5076.66,1946.62,4.59,3125.45,38.34,0.09,61.57,Alta,Saludable,ACTIVO
USR0128,1967.28,1513.91,841.36,-387.99,76.95,42.77,-19.72,Nunca,En riesgo,ACTIVO
USR0129,5063.26,3067.75,269.1,1726.41,60.59,5.31,34.1,Alta,En observación,ACTIVO
USR0130,2164.37,1262.52,895.09,6.76,58.33,41.36,0.31,Baja,En riesgo,ACTIVO
USR0131,2771.25,1811.55,1077.88,-118.18,65.37,38.9,-4.26,Nunca,En observación,ACTIVO
USR0132,3053.26,2314.1,803.75,-64.59,75.79,26.32,-2.12,Nunca,En riesgo,ACTIVO
USR0133,4314.7,2655.89,430.55,1228.26,61.55,9.98,28.47,Alta,En observación,ACTIVO
USR0134,3826.64,3182.26,740.32,-95.95,83.16,19.35,-2.51,Nunca,En riesgo,ACTIVO
USR0135,2447.72,1058.59,360.74,1028.39,43.25,14.74,42.01,Alta,Saludable,ACTIVO
USR0136,5154.01,3848.14,2432.68,-1126.81,74.66,47.2,-21.86,Nunca,En riesgo,ACTIVO
USR0137,2134.23,1345.19,113.91,675.13,63.03,5.34,31.63,Alta,En observación,ACTIVO
USR0138,4378.01,3666.5,1661.22,-949.71,83.75,37.94,-21.69,Nunca,En riesgo,ACTIVO
USR0139,2342.74,1964.8,748.42,-370.48,83.87,31.95,-15.81,Nunca,En riesgo,ACTIVO
USR0140,6225.76,5813.49,873.69,-461.42,93.38,14.03,-7.41,Nunca,En riesgo,ACTIVO
USR0141,6813.38,3345.45,993.9,2474.03,49.1,14.59,36.31,Alta,Saludable,ACTIVO
USR0142,6904.26,5669.75,2829.37,-1594.86,82.12,40.98,-23.1,Nunca,En riesgo,ACTIVO
USR0143,2633.93,1683.52,454.03,496.38,63.92,17.24,18.85,Media,En observación,ACTIVO
USR0144,4562.46,2232.39,87.17,2242.89,48.93,1.91,49.16,Alta,Saludable,ACTIVO
USR0145,4450.91,3520.83,832.78,97.29,79.1,18.71,2.19,Baja,En riesgo,ACTIVO
USR0146,2345.54,1163.36,860.52,321.66,49.6,36.69,13.71,Media,En observación,ACTIVO
USR0147,6339.05,4272.0,1043.91,1023.14,67.39,16.47,16.14,Media,En observación,ACTIVO
USR0148,3463.17,2535.92,826.87,100.37,73.23,23.88,2.9,Baja,En observación,ACTIVO
USR0149,6530.83,4116.87,867.25,1546.71,63.04,13.28,23.68,Alta,En observación,ACTIVO
USR0150,4804.73,4666.16,567.16,-428.59,97.12,11.8,-8.92,Nunca,En riesgo,ACTIVO
USR0151,6094.27,3904.07,461.38,1728.82,64.06,7.57,28.37,Alta,En observación,ACTIVO
USR0152,2201.85,1434.04,178.5,589.31,65.13,8.11,26.76,Alta,En observación,ACTIVO
USR0153,2966.25,1562.0,304.87,1099.38,52.66,10.28,37.06,Alta,Saludable,ACTIVO
USR0154,3310.25,2224.36,647.72,438.17,67.2,19.57,13.24,Media,En observación,ACTIVO
USR0155,4688.21,4070.36,469.24,148.61,86.82,10.01,3.17,Baja,En riesgo,ACTIVO
USR0156,5300.58,3019.42,1154.97,1126.19,56.96,21.79,21.25,Alta,En observación,INACTIVO
USR0157,4802.55,2704.82,633.56,1464.17,56.32,13.19,30.49,Alta,Saludable,ACTIVO
USR0158,5801.81,3823.37,1162.01,816.43,65.9,20.03,14.07,Media,En observación,ACTIVO
USR0159,2873.98,2399.57,343.25,131.16,83.49,11.94,4.56,Baja,En riesgo,ACTIVO
USR0160,5302.12,3050.28,580.89,1670.94,57.53,10.96,31.51,Alta,Saludable,ACTIVO
USR0161,4381.57,2956.43,349.03,1076.11,67.47,7.97,24.56,Alta,En observación,ACTIVO
USR0162,4838.01,2923.26,331.96,1582.79,60.42,6.86,32.72,Alta,En observación,ACTIVO
USR0163,4125.34,3003.86,992.05,129.42,72.82,24.05,3.14,Baja,En observación,ACTIVO
USR0164,3482.21,2771.11,582.82,128.28,79.58,16.74,3.68,Baja,En riesgo,ACTIVO
USR0165,2821.21,1690.34,405.46,725.42,59.92,14.37,25.71,Alta,Saludable,ACTIVO
USR0166,5410.6,3644.17,515.61,1250.82,67.35,9.53,23.12,Alta,En observación,ACTIVO
USR0167,2563.46,2168.03,1233.86,-838.43,84.57,48.13,-32.71,Nunca,En riesgo,ACTIVO
USR0168,4052.05,2386.75,829.95,835.36,58.9,20.48,20.62,Alta,En observación,ACTIVO
USR0169,2468.17,1410.83,1222.35,-165.01,57.16,49.52,-6.69,Nunca,En riesgo,ACTIVO
USR0170,3561.89,1403.16,245.23,1913.51,39.39,6.88,53.72,Alta,Saludable,ACTIVO
USR0171,3180.55,2348.94,660.47,171.14,73.85,20.77,5.38,Baja,En observación,ACTIVO
USR0172,4598.13,3348.65,725.89,523.59,72.83,15.79,11.39,Media,En observación,ACTIVO
USR0173,2226.2,1313.56,282.83,629.81,59.0,12.7,28.29,Alta,Saludable,ACTIVO
USR0174,4222.41,3418.77,760.67,42.97,80.97,18.02,1.02,Baja,En riesgo,ACTIVO
USR0175,6191.89,3607.45,645.6,1938.84,58.26,10.43,31.31,Alta,Saludable,ACTIVO
USR0176,2273.01,1964.92,530.65,-222.56,86.45,23.35,-9.79,Nunca,En riesgo,ACTIVO
USR0177,6433.45,4287.08,337.68,1808.69,66.64,5.25,28.11,Alta,En observación,ACTIVO
USR0178,4702.53,3175.57,551.94,975.03,67.53,11.74,20.73,Alta,En observación,ACTIVO
USR0179,6882.47,6253.94,2078.3,-1449.77,90.87,30.2,-21.06,Nunca,En riesgo,ACTIVO
USR0180,5009.73,3181.23,888.8,939.7,63.5,17.74,18.76,Media,En observación,ACTIVO
USR0181,5859.32,3344.85,2811.62,-297.15,57.09,47.99,-5.07,Nunca,En riesgo,ACTIVO
USR0182,2267.49,1003.6,9.27,1254.62,44.26,0.41,55.33,Alta,Saludable,ACTIVO
USR0183,4407.27,3425.46,690.52,291.28,77.72,15.67,6.61,Baja,En observación,ACTIVO
USR0184,1828.28,1049.38,281.1,497.8,57.4,15.38,27.23,Alta,Saludable,ACTIVO
USR0185,2293.95,1422.3,325.56,546.09,62.0,14.19,23.81,Alta,En observación,ACTIVO
USR0186,4474.44,2435.3,1927.31,111.83,54.43,43.07,2.5,Baja,En riesgo,ACTIVO
USR0187,6984.24,3867.83,2744.72,371.69,55.38,39.3,5.32,Baja,En observación,ACTIVO
USR0188,3152.32,1850.23,1565.53,-263.44,58.69,49.66,-8.36,Nunca,En riesgo,ACTIVO
USR0189,4910.76,2673.92,1940.56,296.28,54.45,39.52,6.03,Baja,En observación,ACTIVO
USR0190,3750.31,3614.39,975.28,-839.36,96.38,26.01,-22.38,Nunca,En riesgo,ACTIVO
USR0191,2331.49,1101.53,210.91,1019.05,47.25,9.05,43.71,Alta,Saludable,ACTIVO
USR0192,3114.3,2175.3,474.0,464.99,69.85,15.22,14.93,Media,En observación,ACTIVO
USR0193,2471.76,1601.97,957.03,-87.25,64.81,38.72,-3.53,Nunca,En observación,ACTIVO
USR0194,3527.9,1607.14,105.73,1815.03,45.56,3.0,51.45,Alta,Saludable,ACTIVO
USR0195,3757.28,2568.02,797.23,392.03,68.35,21.22,10.43,Media,En observación,ACTIVO
USR0196,3312.05,2450.1,896.26,-34.3,73.98,27.06,-1.04,Nunca,En observación,ACTIVO
USR0197,6032.3,4244.08,1268.75,519.47,70.36,21.03,8.61,Baja,En observación,ACTIVO
USR0198,3067.75,2079.05,523.52,465.18,67.77,17.07,15.16,Media,En observación,ACTIVO
USR0199,6627.41,5750.68,1298.7,-421.97,86.77,19.6,-6.37,Nunca,En riesgo,ACTIVO
USR0200,4019.74,3344.69,1020.83,-345.78,83.21,25.4,-8.6,Nunca,En riesgo,ACTIVO
USR0201,3209.82,1754.7,439.61,1015.5,54.67,13.7,31.64,Alta,Saludable,ACTIVO
USR0202,4832.61,2829.14,2495.84,-492.37,58.54,51.65,-10.19,Nunca,En riesgo,ACTIVO
USR0203,2703.67,1421.76,54.99,1226.91,52.59,2.03,45.38,Alta,Saludable,ACTIVO
USR0204,4795.93,3532.82,1040.79,222.33,73.66,21.7,4.64,Baja,En observación,ACTIVO
USR0205,3413.46,2398.34,296.29,718.83,70.26,8.68,21.06,Alta,En observación,INACTIVO
USR0206,2306.85,1564.53,298.74,443.57,67.82,12.95,19.23,Media,En observación,ACTIVO
USR0207,6280.69,5481.4,705.0,94.29,87.27,11.22,1.5,Baja,En riesgo,ACTIVO
USR0208,5553.01,2764.39,3059.13,-270.51,49.78,55.09,-4.87,Nunca,En riesgo,ACTIVO
USR0209,3460.72,2680.29,873.26,-92.82,77.45,25.23,-2.68,Nunca,En riesgo,ACTIVO
USR0210,2036.59,1426.5,158.65,451.44,70.04,7.79,22.17,Alta,En observación,ACTIVO
USR0211,2814.05,1392.33,106.07,1315.65,49.48,3.77,46.75,Alta,Saludable,ACTIVO
USR0212,2583.62,1203.51,1380.18,-0.06,46.58,53.42,-0.0,Nunca,En riesgo,ACTIVO
USR0213,4363.54,3327.55,804.28,231.71,76.26,18.43,5.31,Baja,En observación,ACTIVO
USR0214,7077.14,3381.12,424.74,3271.28,47.78,6.0,46.22,Alta,Saludable,ACTIVO
USR0215,3707.94,2933.25,1079.53,-304.84,79.11,29.11,-8.22,Nunca,En riesgo,ACTIVO
USR0216,1926.04,1464.13,262.53,199.38,76.02,13.63,10.35,Media,En observación,ACTIVO
USR0217,5016.26,3771.01,802.79,442.46,75.18,16.0,8.82,Baja,En observación,ACTIVO
USR0218,4093.98,2348.47,218.44,1527.07,57.36,5.34,37.3,Alta,Saludable,ACTIVO
USR0219,2004.87,1715.43,322.92,-33.48,85.56,16.11,-1.67,Nunca,En riesgo,ACTIVO
USR0220,4788.59,2580.32,2719.37,-511.1,53.88,56.79,-10.67,Nunca,En riesgo,ACTIVO
USR0221,6676.56,6230.66,1374.38,-928.47,93.32,20.59,-13.91,Nunca,En riesgo,ACTIVO
USR0222,4379.08,2652.32,1831.67,-104.9,60.57,41.83,-2.4,Nunca,En riesgo,ACTIVO
USR0223,2255.51,2111.74,339.51,-195.75,93.63,15.05,-8.68,Nunca,En riesgo,ACTIVO
USR0224,4719.33,3901.36,514.62,303.35,82.67,10.9,6.43,Baja,En observación,ACTIVO
USR0225,2849.51,2098.83,439.96,310.72,73.66,15.44,10.9,Media,En observación,ACTIVO
USR0226,5746.73,2888.81,2822.62,35.3,50.27,49.12,0.61,Baja,En riesgo,ACTIVO
USR0227,2800.7,1772.54,115.27,912.89,63.29,4.12,32.6,Alta,En observación,ACTIVO
USR0228,4541.53,3202.83,576.07,762.63,70.52,12.68,16.79,Media,En observación,ACTIVO
USR0229,4244.77,3026.35,1277.93,-59.51,71.3,30.11,-1.4,Nunca,En observación,ACTIVO
USR0230,4799.21,2619.24,441.69,1738.28,54.58,9.2,36.22,Alta,Saludable,ACTIVO
USR0231,5781.75,2192.5,626.8,2962.45,37.92,10.84,51.24,Alta,Saludable,ACTIVO
USR0232,4436.43,2892.0,184.69,1359.74,65.19,4.16,30.65,Alta,En observación,ACTIVO
USR0233,2375.67,1410.05,421.99,543.63,59.35,17.76,22.88,Alta,Saludable,ACTIVO
USR0234,1877.55,1253.13,323.51,300.91,66.74,17.23,16.03,Media,En observación,ACTIVO
USR0235,1411.38,983.66,261.81,165.91,69.69,18.55,11.76,Media,En observación,ACTIVO
USR0236,4478.43,2731.97,292.5,1453.95,61.0,6.53,32.47,Alta,En observación,ACTIVO
USR0237,3731.07,2390.36,333.53,1007.18,64.07,8.94,26.99,Alta,En observación,ACTIVO
USR0238,4586.46,4277.66,1399.19,-1090.39,93.27,30.51,-23.77,Nunca,En riesgo,ACTIVO
USR0239,5917.56,2836.66,476.96,2603.94,47.94,8.06,44.0,Alta,Saludable,ACTIVO
USR0240,2302.51,1237.2,398.52,666.8,53.73,17.31,28.96,Alta,Saludable,ACTIVO
USR0241,4419.59,2649.88,456.63,1313.08,59.96,10.33,29.71,Alta,Saludable,ACTIVO
USR0242,2872.09,1871.8,463.1,537.19,65.17,16.12,18.7,Media,En observación,ACTIVO
USR0243,4958.43,4458.75,2237.05,-1737.37,89.92,45.12,-35.04,Nunca,En riesgo,ACTIVO
USR0244,3974.17,2743.68,489.69,740.79,69.04,12.32,18.64,Media,En observación,ACTIVO
USR0245,2159.47,1481.08,260.12,418.27,68.59,12.05,19.37,Media,En observación,ACTIVO
USR0246,2711.2,2238.44,1294.34,-821.58,82.56,47.74,-30.3,Nunca,En riesgo,ACTIVO
USR0247,1617.02,1183.17,166.48,267.37,73.17,10.3,16.53,Media,En observación,ACTIVO
USR0248,5054.39,1964.62,399.07,2690.71,38.87,7.9,53.23,Alta,Saludable,ACTIVO
USR0249,3513.03,2996.67,1317.36,-801.0,85.3,37.5,-22.8,Nunca,En riesgo,ACTIVO
USR0250,3332.23,2447.03,656.82,228.38,73.44,19.71,6.85,Baja,En observación,ACTIVO
USR0251,5010.59,3583.68,995.62,431.28,71.52,19.87,8.61,Baja,En observación,ACTIVO
USR0252,1861.75,1370.02,285.37,206.36,73.59,15.33,11.08,Media,En observación,ACTIVO
USR0253,6025.43,3476.79,412.14,2136.5,57.7,6.84,35.46,Alta,Saludable,ACTIVO
USR0254,4246.76,3154.84,885.05,206.87,74.29,20.84,4.87,Baja,En observación,ACTIVO
USR0255,4482.57,4108.44,971.0,-596.87,91.65,21.66,-13.32,Nunca,En riesgo,ACTIVO
USR0256,4748.45,3236.89,1263.57,247.99,68.17,26.61,5.22,Baja,En observación,ACTIVO
USR0257,5947.87,3281.97,591.07,2074.83,55.18,9.94,34.88,Alta,Saludable,ACTIVO
USR0258,3388.97,2234.77,275.04,879.16,65.94,8.12,25.94,Alta,En observación,ACTIVO
USR0259,5800.17,3760.38,2030.83,8.96,64.83,35.01,0.15,Baja,En observación,ACTIVO
USR0260,5675.97,3726.71,2883.66,-934.4,65.66,50.8,-16.46,Nunca,En riesgo,ACTIVO
USR0261,5502.68,4086.95,964.95,450.78,74.27,17.54,8.19,Baja,En observación,ACTIVO
USR0262,6293.63,5296.12,1298.43,-300.92,84.15,20.63,-4.78,Nunca,En riesgo,ACTIVO
USR0263,5067.53,2627.03,1807.55,632.96,51.84,35.67,12.49,Media,En observación,ACTIVO
USR0264,4019.38,1987.99,483.12,1548.27,49.46,12.02,38.52,Alta,Saludable,ACTIVO
